id,order_id,rating,food_rating,service_rating
R00001,O00001,3,3,5
R00002,O00002,5,5,5
R00003,O00003,4,5,3
R00004,O00004,5,5,4
R00005,O00005,1,5,4
R00006,O00006,4,4,3
R00007,O00007,4,4,1
R00008,O00008,2,2,1
R00009,O00009,2,1,1
R00010,O00010,3,4,5
R00011,O00011,2,2,1
R00012,O00012,4,1,3
R00013,O00013,1,4,2
R00014,O00014,5,5,4
R00015,O00015,2,1,2
R00016,O00016,4,5,5
R00017,O00017,3,3,5
R00018,O00018,4,3,4
R00019,O00019,3,3,2
R00020,O00020,4,3,3
R00021,O00021,5,2,2
R00022,O00022,2,2,2
R00023,O00023,1,3,4
R00024,O00024,2,3,1
R00025,O00025,1,2,3
R00026,O00026,2,1,4
R00027,O00027,2,1,5
R00028,O00028,3,5,1
R00029,O00029,2,5,1
R00030,O00030,1,5,5
R00031,O00031,4,3,4
R00032,O00032,5,5,5
R00033,O00033,4,2,3
R00034,O00034,1,2,3
R00035,O00035,1,3,4
R00036,O00036,3,1,1
R00037,O00037,1,2,4
R00038,O00038,3,3,3
R00039,O00039,2,5,3
R00040,O00040,4,5,3
R00041,O00041,1,1,5
R00042,O00042,1,5,4
R00043,O00043,1,2,5
R00044,O00044,5,4,5
R00045,O00045,1,1,4
R00046,O00046,5,3,2
R00047,O00047,2,4,2
R00048,O00048,3,4,4
R00049,O00049,5,1,2
R00050,O00050,1,5,4
R00051,O00051,1,3,1
R00052,O00052,2,3,1
R00053,O00053,4,5,2
R00054,O00054,3,5,5
R00055,O00055,5,4,3
R00056,O00056,4,2,4
R00057,O00057,5,1,4
R00058,O00058,3,3,5
R00059,O00059,2,1,4
R00060,O00060,5,1,2
R00061,O00061,2,3,4
R00062,O00062,2,5,2
R00063,O00063,3,5,4
R00064,O00064,5,2,1
R00065,O00065,3,3,4
R00066,O00066,3,5,2
R00067,O00067,3,3,1
R00068,O00068,5,4,5
R00069,O00069,4,2,1
R00070,O00070,2,4,4
R00071,O00071,3,1,3
R00072,O00072,4,3,4
R00073,O00073,2,4,1
R00074,O00074,5,5,5
R00075,O00075,2,3,2
R00076,O00076,2,3,5
R00077,O00077,2,4,1
R00078,O00078,5,2,5
R00079,O00079,3,4,2
R00080,O00080,4,3,5
R00081,O00081,4,4,4
R00082,O00082,1,1,5
R00083,O00083,1,2,2
R00084,O00084,2,4,2
R00085,O00085,4,1,3
R00086,O00086,1,2,3
R00087,O00087,1,4,1
R00088,O00088,1,2,4
R00089,O00089,3,1,4
R00090,O00090,2,1,5
R00091,O00091,2,5,2
R00092,O00092,4,4,1
R00093,O00093,1,1,5
R00094,O00094,5,2,5
R00095,O00095,2,3,5
R00096,O00096,1,4,1
R00097,O00097,5,2,2
R00098,O00098,4,2,3
R00099,O00099,3,4,1
R00100,O00100,2,2,2
R00101,O00101,4,4,1
R00102,O00102,2,2,5
R00103,O00103,4,2,4
R00104,O00104,2,2,4
R00105,O00105,1,2,4
R00106,O00106,4,1,3
R00107,O00107,1,4,4
R00108,O00108,2,2,3
R00109,O00109,3,3,5
R00110,O00110,2,2,1
R00111,O00111,2,2,3
R00112,O00112,5,4,2
R00113,O00113,4,1,1
R00114,O00114,3,3,5
R00115,O00115,5,1,2
R00116,O00116,2,2,1
R00117,O00117,4,2,4
R00118,O00118,3,3,1
R00119,O00119,2,5,1
R00120,O00120,2,3,4
R00121,O00121,1,3,3
R00122,O00122,3,4,4
R00123,O00123,3,2,3
R00124,O00124,1,2,1
R00125,O00125,1,2,4
R00126,O00126,5,4,4
R00127,O00127,3,4,3
R00128,O00128,3,1,2
R00129,O00129,1,4,1
R00130,O00130,3,4,4
R00131,O00131,2,4,5
R00132,O00132,3,1,3
